Model Name,Image,Prediction,Confidence,Latency
yolo_notonnx,street.jpg,bus,0.9115,0.3258
yolo_notonnx,batya.jpg,person,0.9039,0.2966
yolo_notonnx,cafe.jpg,chair,0.9191,0.2985
yolo_notonnx,Epic.jpg,person,0.6270,0.2742
yolo_notonnx,hall.jpg,person,0.7959,0.2712
yolo_notonnx,cat.jpg,cat,0.8799,0.2742
yolo_notonnx,kitchen.jpg,cup,0.4199,0.2465
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2822
yolo_notonnx,zidane.jpg,person,0.8248,0.2593
yolo_notonnx,bus.jpg,bus,0.9070,0.3128
resnet50_onnx,street.jpg,minibus,0.9548,0.0711
resnet50_onnx,batya.jpg,desk,0.1379,0.0638
resnet50_onnx,cafe.jpg,dining table,0.6431,0.0655
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0676
resnet50_onnx,hall.jpg,cinema,0.2461,0.0672
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0604
resnet50_onnx,kitchen.jpg,wardrobe,0.6246,0.0659
resnet50_onnx,pizza.jpg,pizza,0.9972,0.1077
resnet50_onnx,zidane.jpg,suit,0.8285,0.0647
resnet50_onnx,bus.jpg,minibus,0.9594,0.0612
resnet50_notonnx,street.jpg,minibus,0.9548,0.1507
resnet50_notonnx,batya.jpg,desk,0.1379,0.1161
resnet50_notonnx,cafe.jpg,dining table,0.6431,0.0929
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.0823
resnet50_notonnx,hall.jpg,cinema,0.2461,0.1172
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0915
resnet50_notonnx,kitchen.jpg,wardrobe,0.6246,0.0818
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0953
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0837
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0810
yolo_onnx,street.jpg,bus,0.9115,0.0916
yolo_onnx,batya.jpg,person,0.9039,0.0804
yolo_onnx,cafe.jpg,chair,0.9191,0.0798
yolo_onnx,Epic.jpg,person,0.6270,0.0873
yolo_onnx,hall.jpg,person,0.7959,0.0744
